,Name,SMILES
240,BRD-K86038427,NC(=O)c1c(ncc2c1NCC2)Cl
241,BRD-K06587063,NNC(=O)c1cccc(n1)C(F)(F)F
242,BRD-A45431298,C[C@H]1CN(C)[C@@H](C)C[C@@H]1N1NC(=O)C=C1N
243,BRD-A39804951,OC(=O)[C@@H](Cc1ccccc1)NC=O
244,BRD-A80399353,CC[C@@H](O)C#CCN1CCN(C)CC1
245,BRD-K29426772,OC(=O)CNc1ccc(cc1)C(=O)O
246,BRD-K30154374,CC(C)C12CN3CCN(CC(C3)C2=O)C1
247,BRD-K24546945,CN1CCN(CC1)C(=O)/C=C(/C)C(=O)O
248,BRD-K05306708,COC(=O)c1c(c(c2n1CCC2)C#N)N
249,BRD-K89636582,CN(C)C(=O)C[n+]1ccc(cc1)/C=N/O
250,BRD-K57498089,CN(C)/C=N/C(=S)N1CCOCC1
251,BRD-A57780658,CN1C(=O)[C@@H](O)N(C1=O)c1ccccc1
252,BRD-K01968991,CCN(CC)S(=O)(=O)c1nnc[nH]1
253,BRD-K47252325,O=C1CCC(=O)N1CNc1ccccn1
254,BRD-K80439282,NC(=O)c1ccc(cc1)CN1CCOCC1
255,BRD-K80016019,CNS(=O)(=O)c1ccc2c(c1)NC(=O)N2
256,BRD-K52097339,NC(=O)c1ccccc1NC(=O)CCC(=O)O
257,BRD-K76744077,Nc1ccc(cc1)OCc1ccccc1
258,BRD-K37287368,NC(=O)C1CCN(CC1)C(=O)c1ccco1
259,BRD-K32245235,NNC(=O)c1ccc(o1)CN1CCCCC1
260,BRD-A22796662,CCOC(=O)[C@H]1CNC(=S)N[C@@]1(C)O
261,BRD-A06401864,CCOC(=O)[C@H]1CC(=NO1)CC1OCCO1
262,BRD-K54380757,NCCCn1c2c(c3ccccc13)CCCC2
263,BRD-K69253960,O/N=C/C(=O)Nc1ccccc1C(=O)O
264,BRD-A02886970,CO[C@]1(COc2ccccc2O1)C(=O)NN
265,BRD-K95772768,COc1ccccc1C(=O)N1CCNCC1
266,BRD-K82766609,S=C(N1CCCC1)c1cccs1
267,BRD-K48980609,C(CN1CCOCC1)NCc1ccncc1
268,BRD-A54107725,C[C@@H]1[C@@H](O)[C@H](C[C@H]2COC[C@H]12)N(C)C
269,BRD-K38817857,Cc1c(sc2c1C(=O)N=CN2)C(=O)O
270,BRD-K48568010,O=C1C(=COc2ccccc21)c1nn[nH]n1
271,BRD-K50395925,O=C1OCc2cc(ccc21)-n1cnnn1
272,BRD-K98826935,OCCNC(=O)C1=Cc2ccccc2OC1=O
273,BRD-A28630841,Nc1nnc([nH]1)N[C@H]1CCCCNC1=O
274,BRD-K28207830,COc1cccc2ccc(nc12)Cl
275,BRD-K11649188,CN(CCc1ccc([n+](c1)[O-])C)C(=O)C
276,BRD-K95242391,CSc1nn(c2c1C(=O)N(C)N=C2)C
277,BRD-K41542612,CCCN1C(=O)N(C=C(C#N)C1=O)C1CC1
278,BRD-K89633997,COC(=O)CN1C(=O)COc2ccc(cc21)C
279,BRD-A66339309,CC/N=C/1\S[C@@H](CC(=O)N1CC)C(=O)N
280,BRD-A42609176,OC(=O)[C@H]1CCCN1C(=O)c1cccnc1
281,BRD-K33304393,NC(=O)c1nnn(c1N)Cc1ccccc1
282,BRD-A44752748,CC[C@@](C)(NC1=NNC(=O)NC1=O)C(=O)O
283,BRD-A25041289,CC[C@@H](N)CC12CC3CC(CC(C3)C2)C1
284,BRD-K91289705,Fc1ccccc1C(=O)N1CCNCC1
285,BRD-A79060692,CCOC(=O)[C@@H](C)N1N=Cn2cccc2C1=O
286,BRD-K13079064,O=CN1CCN(CC1)C(=O)c1ccccc1
287,BRD-K96919778,OC(=O)c1csc2c1CCCCC2
288,BRD-K10859088,Cc1cc(n(n1)C1=NNC(=S)N1N)C
289,BRD-K31923572,CN(C)c1cc[n+](cc1)C(=O)N1CCOCC1
290,BRD-K43177620,COc1nc(nc(n1)N1CCCCC1)C#N
291,BRD-A99589804,COc1ccc(cc1)[C@@H](N)c1ccccc1
292,BRD-K23752185,COc1ccccc1NCC(=O)NN
293,BRD-K42808435,CN(C)c1nc2cc(ccc2o1)Cl
294,BRD-K97568940,COC(=O)c1ccc2c(c1)NC(=O)CO2
295,BRD-A52753282,CC(N)(Cc1ccc2c(c1)OCO2)C(=O)O
296,BRD-K72443974,O=C(Nc1ccccc1)c1ccccc1
297,BRD-K15552027,c1ccc(cc1)-n1ncc2c1ncn1nnnc21
298,BRD-K53885817,COc1ccc(cc1)/C=C\1/NC(=O)NC1=O
299,BRD-K18937438,CC1=C(C)C(=O)N(C(=O)N1)C(C)(C)C
300,BRD-K04546572,NNC(=O)c1ccc2c(c1)C(=O)NNC2=O
301,BRD-K57910624,COc1ccc(cc1OC)S(=O)(=O)N
302,BRD-A82451428,CC[C@H]1Sc2ccccc2NC1=O
303,BRD-K20768304,COC(=O)Nc1c(cc(cc1C)C)C
304,BRD-K74653184,CN/1C(=N)NC(=O)\C1=C\c1cccnc1
305,BRD-A25314468,CNC(=O)Cn1cc2c(n1)CC[C@H](C)C2
306,BRD-K50456152,CCN1C(=C(SC1=S)C(=O)N)N
307,BRD-K14516409,NNC(=O)CNC(=O)c1ccccc1
308,BRD-K67016505,CCOC(=O)/C(=N/O)C1=NNC(=N)SC1
309,BRD-K03235119,CN1C(=O)/C(=C(/C#N)C(=O)N)c2ccccc21
310,BRD-A61865718,CN(C)/C=N/[C@H]1NC(=O)N(C)C(=N1)C1CC1
311,BRD-K47939769,C/C(=C/C(=O)O)/C=C/c1ccccc1
312,BRD-A44057484,COc1ccc(cc1)N1C[C@@H](CC1=O)C(=O)N
313,BRD-K60305584,O(c1ccccc1)c1cccc(c1)Oc1ccccc1
314,BRD-K42243670,CCN1C(=O)NC(=CC1=O)N1CCC(C)CC1
315,BRD-A22111484,CC[C@@H](SC1=NNC(=O)NC1=O)C(=O)O
316,BRD-K36678507,Cc1cc(nc(n1)SCC(=O)NN)C
317,BRD-A37493251,CCOC(=O)[C@H]1CNN=C1C(=O)OCC
318,BRD-K75254829,COC(=O)/C=C/1\SC2=NCCN2C1=O
319,BRD-K40095385,NCc1ccc(cc1)-c1nc2ccccc2o1
320,BRD-K91070281,NC(=NC(=O)N1CCOCC1)c1ccccc1
321,BRD-A56987319,Nc1ncnc2n(cnc12)[C@H]1CCCO1
322,BRD-A94898175,C[C@@H](Sc1nc(cc(n1)N)N)C(=O)O
323,BRD-A83591127,CCOC(=O)[C@H]1CN(C(=O)C1=O)C(C)(C)C
324,BRD-K41533261,Oc1ccccc1C(=O)N1CCOCC1
325,BRD-K77291598,S=C1NCN(CCc2ccccc2)CN1
326,BRD-A86976880,C[C@@H](NC(=O)COc1ccccc1)C(=O)O
327,BRD-K88358224,OC(=O)CN1C(=O)Oc2ccccc21
328,BRD-K96700333,CCCC1=CC(=O)N=C(N1)SCC(=O)N
329,BRD-K69139524,Cc1ccc(o1)/C=C/1\Sc2ncnn2C1=O
330,BRD-K64453794,CNC(=O)C1=C(O)c2ccccc2N(C)C1=O
331,BRD-K94988852,Cc1ccc(cc1)CNC(=S)NCCO
332,BRD-K97665869,Nc1ccc(cc1)S(=O)(=O)CCC#N
333,BRD-K57114545,CNS(=O)(=O)c1cc(ccc1OC)OC
334,BRD-K80649308,Nc1nonc1/C(=N/O)N1CCCCC1
335,BRD-K47026845,CC(C)C(=O)Nc1cccc(c1)Cl
336,BRD-A20421779,CN(C)[C@H]1CS(=O)(=O)C[C@@H]1N(C)C
337,BRD-K70427277,NC(=N)NC1=NC(=O)c2ccccc2N1
338,BRD-K68263137,CC(C)C1=NC(=NC(=O)N1C)/N=C/N(C)C
339,BRD-K09580746,N#CCCN1CCCC2(CCCC2)C1
340,BRD-K45936253,CCOC(=O)c1cnn2c(c(cnc12)C#N)N
341,BRD-K31114499,CCOC(=O)CN1CCN(CC1)C=O
342,BRD-K25500749,NNC(=O)Cn1nnc(n1)N1CCCC1
343,BRD-K67209127,NC(=O)CNC(=O)c1cccc(c1)Cl
344,BRD-K61920698,Cc1ccccc1NC(=N)N=C(N)N
345,BRD-A95714134,OC(=O)C[C@H]1Nc2ccccc2NC1=O
346,BRD-K62372508,O=C/1OCCN\C1=C\C(=O)c1ccccc1
347,BRD-K46999120,OC(=O)CCCN=C1NC(=O)CC(=O)N1
348,BRD-K72005094,COc1cc2c(cc1OC)C(=O)NCC2
349,BRD-K92028663,Cc1c(sc2c1C(=O)N=CN2)C(=O)N
350,BRD-K47055223,NN1C(=S)Nc2cc(ccc2C1=O)C(=O)O
351,BRD-K90539707,O[C@@H]1CO[C@@H](Nc2ccccc2)[C@H](O)[C@H]1O
352,BRD-K12382136,NC1=C(N)C(=O)N(N=C1)c1ccccc1
353,BRD-K53748620,COC(=O)c1ccc2[n+](onc2c1)[O-]
354,BRD-K12347712,OC(=O)c1ccc(cc1)N1NC(=C)C=[N+]1[O-]
355,BRD-A12211670,O[C@H]1C[C@@H](N(C1)Cc1ccccc1)C(=O)O
356,BRD-K70640862,CCOC(=O)c1c(no[n+]1[O-])NC(=O)C
357,BRD-A95252549,NC(=O)C([C@H]1CCS(=O)(=O)C1)C(=O)N
358,BRD-K27629142,Nc1nnnn1/N=C\c1ccc(cc1)O
359,BRD-K54836627,CCCn1c(nc2c1C(=O)N(C)C(=O)N2C)N
